ID;Název;Kategorie;Řada;Objem;Výchozí cena;Aktivní;Retail
197;"DIAcolor 1";Barva;DIAcolor;;;Ano;Ne
198;"DIAcolor 3";Barva;DIAcolor;;;Ano;Ne
199;"DIAcolor 4";Barva;DIAcolor;;;Ano;Ne
200;"DIAcolor 4.12";Barva;DIAcolor;;;Ano;Ne
201;"DIAcolor 4.15";Barva;DIAcolor;;;Ano;Ne
202;"DIAcolor 4.20";Barva;DIAcolor;;;Ano;Ne
203;"DIAcolor 4.45";Barva;DIAcolor;;;Ano;Ne
204;"DIAcolor 4.62";Barva;DIAcolor;;;Ano;Ne
205;"DIAcolor 5";Barva;DIAcolor;;;Ano;Ne
206;"DIAcolor 5.1";Barva;DIAcolor;;;Ano;Ne
207;"DIAcolor 5.18";Barva;DIAcolor;;;Ano;Ne
208;"DIAcolor 5.3";Barva;DIAcolor;;;Ano;Ne
209;"DIAcolor 5.35";Barva;DIAcolor;;;Ano;Ne
210;"DIAcolor 5.4";Barva;DIAcolor;;;Ano;Ne
211;"DIAcolor 5.5";Barva;DIAcolor;;;Ano;Ne
212;"DIAcolor 5.71";Barva;DIAcolor;;;Ano;Ne
213;"DIAcolor 5.8";Barva;DIAcolor;;;Ano;Ne
214;"DIAcolor 6";Barva;DIAcolor;;;Ano;Ne
215;"DIAcolor 6.1";Barva;DIAcolor;;;Ano;Ne
216;"DIAcolor 6.12";Barva;DIAcolor;;;Ano;Ne
217;"DIAcolor 6.23";Barva;DIAcolor;;;Ano;Ne
218;"DIAcolor 6.3";Barva;DIAcolor;;;Ano;Ne
219;"DIAcolor 6.31";Barva;DIAcolor;;;Ano;Ne
220;"DIAcolor 6.34";Barva;DIAcolor;;;Ano;Ne
221;"DIAcolor 6.35";Barva;DIAcolor;;;Ano;Ne
222;"DIAcolor 6.45";Barva;DIAcolor;;;Ano;Ne
223;"DIAcolor 6.60";Barva;DIAcolor;;;Ano;Ne
224;"DIAcolor 6.8";Barva;DIAcolor;;;Ano;Ne
225;"DIAcolor 6.84";Barva;DIAcolor;;;Ano;Ne
226;"DIAcolor 7";Barva;DIAcolor;;;Ano;Ne
227;"DIAcolor 7.1";Barva;DIAcolor;;;Ano;Ne
228;"DIAcolor 7.13";Barva;DIAcolor;;;Ano;Ne
229;"DIAcolor 7.18";Barva;DIAcolor;;;Ano;Ne
230;"DIAcolor 7.32";Barva;DIAcolor;;;Ano;Ne
231;"DIAcolor 7.44";Barva;DIAcolor;;;Ano;Ne
232;"DIAcolor 7.8";Barva;DIAcolor;;;Ano;Ne
233;"DIAcolor 8";Barva;DIAcolor;;;Ano;Ne
234;"DIAcolor 8.1";Barva;DIAcolor;;;Ano;Ne
235;"DIAcolor 8.13";Barva;DIAcolor;;;Ano;Ne
236;"DIAcolor 8.2";Barva;DIAcolor;;;Ano;Ne
237;"DIAcolor 8.23";Barva;DIAcolor;;;Ano;Ne
238;"DIAcolor 8.3";Barva;DIAcolor;;;Ano;Ne
239;"DIAcolor 8.31";Barva;DIAcolor;;;Ano;Ne
240;"DIAcolor 8.34";Barva;DIAcolor;;;Ano;Ne
241;"DIAcolor 8.43";Barva;DIAcolor;;;Ano;Ne
242;"DIAcolor 9";Barva;DIAcolor;;;Ano;Ne
243;"DIAcolor 9.1";Barva;DIAcolor;;;Ano;Ne
244;"DIAcolor 9.13";Barva;DIAcolor;;;Ano;Ne
245;"DIAcolor 9.82";Barva;DIAcolor;;;Ano;Ne
246;"DIAcolor CLEAR";Barva;DIAcolor;;;Ano;Ne
1;"Inoa 1";Barva;Inoa;;;Ano;Ne
83;"Inoa 10";Barva;Inoa;;;Ano;Ne
84;"Inoa 10.1";Barva;Inoa;;;Ano;Ne
85;"Inoa 10.11";Barva;Inoa;;;Ano;Ne
86;"Inoa 10.12";Barva;Inoa;;;Ano;Ne
87;"Inoa 10.21";Barva;Inoa;;;Ano;Ne
2;"Inoa 2";Barva;Inoa;;;Ano;Ne
3;"Inoa 2.10";Barva;Inoa;;;Ano;Ne
4;"Inoa 3";Barva;Inoa;;;Ano;Ne
5;"Inoa 4";Barva;Inoa;;;Ano;Ne
6;"Inoa 4.0";Barva;Inoa;;;Ano;Ne
7;"Inoa 4.15";Barva;Inoa;;;Ano;Ne
